show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2400,Movie,Army of Thieves 16,Guillermo del Toro,"Cate Blanchett, Leonardo DiCaprio, Meryl Streep, Brad Pitt",United States,"August 18, 2022",2021,PG-13,162 min,Comedies,A story about Army.
s2401,Movie,The Crown 11,Ryan Murphy,"Cate Blanchett, Meryl Streep, Leonardo DiCaprio, Brad Pitt",United Kingdom,"February 12, 2013",2012,TV-MA,77 min,Documentaries,A story about The.
s2402,Movie,Stranger Things 34,,"Jennifer Aniston, Brad Pitt, Tom Hanks",United States,"December 16, 2012",2011,PG-13,76 min,Thrillers,A story about Stranger.
s2403,TV Show,Breaking Bad 16,,"Cate Blanchett, Meryl Streep, Brad Pitt, Leonardo DiCaprio",South Korea,"April 18, 2021",2021,TV-14,3 Season,"Thrillers, Sci-Fi & Fantasy",A story about Breaking.
s2404,TV Show,Narcos 45,,"Meryl Streep, Tom Hanks",South Korea,"April 23, 2022",2021,TV-MA,5 Season,"International Movies, Sci-Fi & Fantasy",A story about Narcos.
s2405,Movie,Dark 40,Alfonso Cuarón,"Cate Blanchett, Tom Hanks, Brad Pitt, Leonardo DiCaprio",United States,"April 15, 2018",2016,TV-PG,157 min,"Thrillers, Sci-Fi & Fantasy",A story about Dark.
s2406,TV Show,Money Heist 14,,"Cate Blanchett, Tom Hanks, Leonardo DiCaprio, Jennifer Aniston",Japan,"November 25, 2021",2020,PG-13,3 Season,"Action & Adventure, Sci-Fi & Fantasy",A story about Money.
s2407,TV Show,Squid Game 40,Ava DuVernay,"Leonardo DiCaprio, Tom Hanks, Brad Pitt",India,"September 6, 2021",2019,TV-MA,2 Season,Dramas,A story about Squid.
s2408,TV Show,Ozark 28,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio, Cate Blanchett",United States,"July 27, 2015",2014,PG-13,4 Season,Thrillers,A story about Ozark.
s2409,Movie,Mindhunter 47,Ava DuVernay,"Leonardo DiCaprio, Tom Hanks, Meryl Streep",United States,"May 18, 2022",2020,TV-14,151 min,"Children & Family Movies, Documentaries",A story about Mindhunter.
s2410,Movie,Lupin 47,,"Tom Hanks, Leonardo DiCaprio",Spain,"February 23, 2015",2015,TV-MA,135 min,"Documentaries, International Movies",A story about Lupin.
s2411,Movie,Inception 43,,"Tom Hanks, Leonardo DiCaprio",France,"March 16, 2018",2017,PG,127 min,Sci-Fi & Fantasy,A story about Inception.
s2412,Movie,The Irishman 9,,"Meryl Streep, Jennifer Aniston",United States,"October 15, 2022",2021,TV-14,111 min,Action & Adventure,A story about The.
s2413,Movie,Bird Box 13,,"Brad Pitt, Meryl Streep, Tom Hanks, Jennifer Aniston",India,"December 8, 2015",2014,TV-14,104 min,"International Movies, Children & Family Movies",A story about Bird.
s2414,Movie,Extraction 33,Alfonso Cuarón,"Tom Hanks, Jennifer Aniston, Brad Pitt",South Korea,"May 27, 2022",2021,TV-MA,71 min,Documentaries,A story about Extraction.
s2415,Movie,The Old Guard 5,David Fincher,"Tom Hanks, Jennifer Aniston, Brad Pitt",Japan,"April 23, 2016",2016,TV-MA,162 min,"International Movies, Romantic Movies",A story about The.
s2416,Movie,Bright 26,Ryan Murphy,"Jennifer Aniston, Leonardo DiCaprio, Cate Blanchett",France,"April 12, 2014",2014,TV-14,129 min,"Comedies, Thrillers",A story about Bright.
s2417,Movie,Triple Frontier 32,Martin Scorsese,"Meryl Streep, Jennifer Aniston, Cate Blanchett",India,"May 2, 2015",2015,PG-13,141 min,International Movies,A story about Triple.
s2418,Movie,6 Underground 33,,"Meryl Streep, Tom Hanks, Cate Blanchett, Leonardo DiCaprio",United States,"April 1, 2019",2018,TV-14,87 min,International Movies,A story about 6.
s2419,Movie,Project Power 28,Guillermo del Toro,"Tom Hanks, Jennifer Aniston",India,"September 14, 2020",2020,NR,112 min,Documentaries,A story about Project.
s2420,Movie,Army of Thieves 7,,"Jennifer Aniston, Meryl Streep, Tom Hanks, Leonardo DiCaprio",United States,"November 20, 2010",2009,PG-13,152 min,Action & Adventure,A story about Army.
s2421,TV Show,The Crown 38,,"Cate Blanchett, Meryl Streep",United States,"May 8, 2021",2020,TV-PG,5 Season,"Thrillers, Children & Family Movies",A story about The.
s2422,Movie,Stranger Things 17,Guillermo del Toro,"Jennifer Aniston, Brad Pitt, Tom Hanks, Meryl Streep",India,"July 8, 2011",2011,PG-13,170 min,Documentaries,A story about Stranger.
s2423,Movie,Breaking Bad 43,David Fincher,"Meryl Streep, Jennifer Aniston, Brad Pitt",France,"March 18, 2009",2008,TV-14,129 min,International Movies,A story about Breaking.
s2424,Movie,Narcos 17,,"Tom Hanks, Leonardo DiCaprio, Cate Blanchett, Jennifer Aniston",United States,"August 23, 2014",2013,TV-14,132 min,Dramas,A story about Narcos.
s2425,Movie,Dark 28,Ryan Murphy,"Meryl Streep, Cate Blanchett, Brad Pitt",France,"June 3, 2016",2015,TV-MA,164 min,Thrillers,A story about Dark.
s2426,Movie,Money Heist 47,Christopher Nolan,"Brad Pitt, Tom Hanks, Jennifer Aniston",Germany,"May 19, 2016",2016,TV-14,105 min,Action & Adventure,A story about Money.
s2427,TV Show,Squid Game 44,,,Brazil,"May 9, 2013",2013,PG,5 Season,"Horror Movies, International Movies",A story about Squid.
s2428,TV Show,Ozark 45,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio",South Korea,"August 24, 2022",2021,TV-14,2 Season,"International Movies, Documentaries",A story about Ozark.
s2429,Movie,Mindhunter 23,Martin Scorsese,"Tom Hanks, Jennifer Aniston, Meryl Streep",India,"February 12, 2016",2016,PG,117 min,Romantic Movies,A story about Mindhunter.
s2430,TV Show,Lupin 13,,"Tom Hanks, Leonardo DiCaprio",United States,"October 3, 2010",2009,TV-MA,2 Season,International Movies,A story about Lupin.
s2431,Movie,Inception 36,Alfonso Cuarón,"Meryl Streep, Brad Pitt, Cate Blanchett, Leonardo DiCaprio",United States,"October 8, 2018",2018,TV-PG,177 min,"International Movies, Comedies",A story about Inception.
s2432,TV Show,The Irishman 26,Alfonso Cuarón,"Meryl Streep, Brad Pitt",South Korea,"September 25, 2011",2010,TV-14,3 Season,"Sci-Fi & Fantasy, International Movies",A story about The.
s2433,Movie,Bird Box 32,Martin Scorsese,"Tom Hanks, Meryl Streep",United States,"November 5, 2018",2016,R,152 min,Documentaries,A story about Bird.
s2434,TV Show,Extraction 10,David Fincher,"Meryl Streep, Tom Hanks, Brad Pitt, Leonardo DiCaprio",Japan,"July 9, 2010",2008,TV-MA,3 Season,"Children & Family Movies, Dramas",A story about Extraction.
s2435,TV Show,The Old Guard 29,Ryan Murphy,,United States,"October 14, 2019",2019,PG,3 Season,Thrillers,A story about The.
s2436,TV Show,Bright 27,Ryan Murphy,"Meryl Streep, Brad Pitt, Jennifer Aniston, Cate Blanchett",United Kingdom,"January 26, 2011",2011,TV-MA,5 Season,Sci-Fi & Fantasy,A story about Bright.
s2437,Movie,Triple Frontier 18,Christopher Nolan,"Tom Hanks, Cate Blanchett, Brad Pitt",United States,"June 5, 2018",2018,PG-13,164 min,Children & Family Movies,A story about Triple.
s2438,Movie,6 Underground 46,Martin Scorsese,"Tom Hanks, Leonardo DiCaprio",United States,"December 1, 2021",2021,PG-13,70 min,International Movies,A story about 6.
s2439,TV Show,Project Power 27,Guillermo del Toro,,United States,"December 2, 2012",2011,TV-PG,5 Season,"Thrillers, Dramas",A story about Project.
s2440,Movie,Army of Thieves 20,,"Brad Pitt, Leonardo DiCaprio",United States,"March 27, 2022",2020,TV-14,138 min,"Thrillers, Comedies",A story about Army.
s2441,TV Show,The Crown 25,Alfonso Cuarón,"Cate Blanchett, Meryl Streep",Spain,"April 9, 2012",2010,TV-MA,3 Season,Comedies,A story about The.
s2442,Movie,Stranger Things 16,,"Cate Blanchett, Brad Pitt",United Kingdom,"November 8, 2017",2015,TV-MA,72 min,Horror Movies,A story about Stranger.
s2443,Movie,Breaking Bad 32,Alfonso Cuarón,"Meryl Streep, Leonardo DiCaprio, Jennifer Aniston",India,"September 11, 2021",2021,TV-MA,134 min,Documentaries,A story about Breaking.
s2444,Movie,Narcos 9,,"Cate Blanchett, Brad Pitt, Leonardo DiCaprio, Meryl Streep",Germany,"May 8, 2011",2009,TV-MA,143 min,Comedies,A story about Narcos.
s2445,Movie,Dark 7,Alfonso Cuarón,,South Korea,"July 5, 2018",2016,TV-14,156 min,"Action & Adventure, Comedies",A story about Dark.
s2446,TV Show,Money Heist 28,,"Jennifer Aniston, Leonardo DiCaprio",Japan,"December 8, 2015",2013,TV-14,1 Season,"Action & Adventure, Thrillers",A story about Money.
s2447,Movie,Squid Game 20,,"Jennifer Aniston, Meryl Streep",India,"January 21, 2015",2014,TV-MA,153 min,"Comedies, Documentaries",A story about Squid.
s2448,Movie,Ozark 18,Ryan Murphy,"Leonardo DiCaprio, Jennifer Aniston, Meryl Streep, Brad Pitt",United Kingdom,"May 5, 2015",2015,NR,71 min,"International Movies, Dramas",A story about Ozark.
s2449,TV Show,Mindhunter 31,Christopher Nolan,"Brad Pitt, Leonardo DiCaprio, Jennifer Aniston",Germany,"June 9, 2019",2019,TV-PG,1 Season,Thrillers,A story about Mindhunter.
s2450,Movie,Lupin 36,,"Tom Hanks, Jennifer Aniston, Meryl Streep",Canada,"February 15, 2021",2021,PG-13,146 min,Documentaries,A story about Lupin.
s2451,TV Show,Inception 44,,"Leonardo DiCaprio, Cate Blanchett",United States,"October 26, 2018",2016,TV-14,4 Season,Thrillers,A story about Inception.
s2452,Movie,The Irishman 29,Alfonso Cuarón,"Leonardo DiCaprio, Tom Hanks, Jennifer Aniston, Cate Blanchett",United States,"September 6, 2018",2018,R,120 min,Dramas,A story about The.
s2453,Movie,Bird Box 28,Martin Scorsese,"Cate Blanchett, Jennifer Aniston",United States,"May 13, 2013",2013,TV-PG,176 min,Comedies,A story about Bird.
s2454,Movie,Extraction 39,Martin Scorsese,"Cate Blanchett, Meryl Streep",India,"February 5, 2011",2009,TV-PG,95 min,International Movies,A story about Extraction.
s2455,Movie,The Old Guard 17,Martin Scorsese,,Spain,"February 13, 2012",2012,TV-MA,95 min,Dramas,A story about The.
s2456,TV Show,Bright 3,Guillermo del Toro,"Jennifer Aniston, Leonardo DiCaprio",Spain,"February 5, 2017",2016,TV-14,4 Season,Horror Movies,A story about Bright.
s2457,Movie,Triple Frontier 33,Alfonso Cuarón,"Jennifer Aniston, Tom Hanks, Meryl Streep",Canada,"February 24, 2012",2011,PG-13,155 min,"Comedies, Children & Family Movies",A story about Triple.
s2458,Movie,6 Underground 22,Christopher Nolan,"Leonardo DiCaprio, Brad Pitt, Meryl Streep, Cate Blanchett",United Kingdom,"September 2, 2016",2015,TV-MA,142 min,"Action & Adventure, Children & Family Movies",A story about 6.
s2459,TV Show,Project Power 32,,"Jennifer Aniston, Brad Pitt",United Kingdom,,2008,R,4 Season,Thrillers,A story about Project.
s2460,Movie,Army of Thieves 34,Christopher Nolan,"Brad Pitt, Jennifer Aniston, Leonardo DiCaprio",India,"April 15, 2017",2015,NR,126 min,"Sci-Fi & Fantasy, Dramas",A story about Army.
s2461,TV Show,The Crown 34,,"Tom Hanks, Brad Pitt, Leonardo DiCaprio, Meryl Streep",Brazil,"June 18, 2017",2015,R,5 Season,"Action & Adventure, Children & Family Movies",A story about The.
s2462,Movie,Stranger Things 4,,"Cate Blanchett, Tom Hanks, Leonardo DiCaprio",India,"March 9, 2019",2018,PG-13,161 min,"Dramas, Children & Family Movies",A story about Stranger.
s2463,TV Show,Breaking Bad 48,David Fincher,"Jennifer Aniston, Tom Hanks",India,"October 13, 2017",2017,TV-14,1 Season,"Romantic Movies, International Movies",A story about Breaking.
s2464,TV Show,Narcos 24,,"Cate Blanchett, Leonardo DiCaprio, Brad Pitt",United Kingdom,"May 4, 2012",2010,R,3 Season,"Documentaries, Comedies",A story about Narcos.
s2465,Movie,Dark 9,,"Meryl Streep, Tom Hanks, Brad Pitt, Leonardo DiCaprio",France,"December 10, 2018",2017,TV-MA,136 min,"Comedies, Thrillers",A story about Dark.
s2466,TV Show,Money Heist 1,,"Jennifer Aniston, Meryl Streep",United States,"December 22, 2013",2012,TV-14,1 Season,Sci-Fi & Fantasy,A story about Money.
s2467,Movie,Squid Game 47,Guillermo del Toro,"Brad Pitt, Jennifer Aniston",Japan,"June 20, 2021",2021,TV-14,160 min,Action & Adventure,A story about Squid.
s2468,Movie,Ozark 8,,"Jennifer Aniston, Leonardo DiCaprio",Germany,"October 25, 2012",2010,PG-13,107 min,Action & Adventure,A story about Ozark.
s2469,TV Show,Mindhunter 49,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio",India,"June 11, 2015",2013,PG-13,4 Season,"Dramas, Sci-Fi & Fantasy",A story about Mindhunter.
s2470,Movie,Lupin 48,,"Cate Blanchett, Meryl Streep",United Kingdom,"March 20, 2019",2019,TV-MA,146 min,"Romantic Movies, Thrillers",A story about Lupin.
s2471,Movie,Inception 9,Christopher Nolan,"Brad Pitt, Cate Blanchett, Tom Hanks",United States,"March 10, 2010",2010,TV-MA,84 min,Documentaries,A story about Inception.
s2472,TV Show,The Irishman 16,Ava DuVernay,"Jennifer Aniston, Leonardo DiCaprio, Cate Blanchett, Tom Hanks",United States,"August 9, 2014",2012,TV-PG,4 Season,"Children & Family Movies, Documentaries",A story about The.
s2473,Movie,Bird Box 43,,"Meryl Streep, Cate Blanchett, Leonardo DiCaprio",Canada,"October 4, 2019",2018,TV-14,73 min,"Documentaries, Comedies",A story about Bird.
s2474,TV Show,Extraction 42,Guillermo del Toro,"Leonardo DiCaprio, Meryl Streep, Brad Pitt",United States,"December 9, 2016",2015,TV-14,1 Season,International Movies,A story about Extraction.
s2475,Movie,The Old Guard 11,Martin Scorsese,,United States,"December 22, 2019",2019,PG-13,115 min,Sci-Fi & Fantasy,A story about The.
s2476,Movie,Bright 42,Ryan Murphy,"Cate Blanchett, Brad Pitt, Jennifer Aniston",United States,"September 21, 2012",2010,TV-14,102 min,"Documentaries, International Movies",A story about Bright.
s2477,TV Show,Triple Frontier 48,,"Tom Hanks, Brad Pitt, Leonardo DiCaprio, Meryl Streep",United States,"May 19, 2021",2021,TV-MA,4 Season,"Children & Family Movies, Horror Movies",A story about Triple.
s2478,Movie,6 Underground 27,David Fincher,"Brad Pitt, Tom Hanks, Cate Blanchett, Jennifer Aniston",United States,"February 1, 2019",2017,TV-PG,155 min,International Movies,A story about 6.
s2479,Movie,Project Power 13,,"Cate Blanchett, Tom Hanks",United Kingdom,"December 25, 2017",2017,TV-PG,164 min,"Action & Adventure, International Movies",A story about Project.
s2480,TV Show,Army of Thieves 9,Christopher Nolan,"Tom Hanks, Cate Blanchett",United States,"August 10, 2021",2021,TV-MA,1 Season,Documentaries,A story about Army.
s2481,Movie,The Crown 24,Alfonso Cuarón,"Brad Pitt, Jennifer Aniston, Tom Hanks",Canada,"June 19, 2016",2015,TV-14,138 min,"Romantic Movies, Thrillers",A story about The.
s2482,TV Show,Stranger Things 21,,"Jennifer Aniston, Brad Pitt",France,"June 8, 2022",2020,TV-PG,5 Season,"Action & Adventure, International Movies",A story about Stranger.
s2483,TV Show,Breaking Bad 37,Martin Scorsese,"Leonardo DiCaprio, Brad Pitt, Cate Blanchett",Japan,"April 15, 2014",2012,TV-14,3 Season,International Movies,A story about Breaking.
s2484,Movie,Narcos 45,,"Cate Blanchett, Jennifer Aniston",Brazil,"December 21, 2010",2009,PG-13,166 min,Comedies,A story about Narcos.
s2485,Movie,Dark 23,Ava DuVernay,"Cate Blanchett, Tom Hanks, Jennifer Aniston",United States,"November 15, 2017",2016,R,117 min,International Movies,A story about Dark.
s2486,TV Show,Money Heist 2,,"Brad Pitt, Tom Hanks",Japan,"December 9, 2022",2020,TV-MA,2 Season,International Movies,A story about Money.
s2487,Movie,Squid Game 41,Alfonso Cuarón,"Meryl Streep, Cate Blanchett, Tom Hanks",Canada,"July 27, 2014",2013,TV-14,104 min,Documentaries,A story about Squid.
s2488,Movie,Ozark 25,Christopher Nolan,"Jennifer Aniston, Meryl Streep",France,"August 11, 2010",2010,TV-MA,170 min,Comedies,A story about Ozark.
s2489,Movie,Mindhunter 13,Alfonso Cuarón,"Tom Hanks, Brad Pitt, Meryl Streep",United States,"June 12, 2019",2018,TV-14,98 min,"Action & Adventure, Comedies",A story about Mindhunter.
s2490,TV Show,Lupin 24,,"Brad Pitt, Jennifer Aniston",Spain,"July 5, 2009",2009,TV-PG,5 Season,Documentaries,A story about Lupin.
s2491,TV Show,Inception 40,Christopher Nolan,"Meryl Streep, Brad Pitt, Leonardo DiCaprio",United States,"November 10, 2013",2011,TV-MA,5 Season,Action & Adventure,A story about Inception.
s2492,TV Show,The Irishman 41,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio",United States,"April 17, 2011",2010,TV-14,4 Season,Horror Movies,A story about The.
s2493,Movie,Bird Box 12,Ava DuVernay,,South Korea,"May 16, 2019",2017,TV-PG,131 min,Documentaries,A story about Bird.
s2494,Movie,Extraction 21,Martin Scorsese,"Meryl Streep, Cate Blanchett",South Korea,"October 12, 2016",2015,TV-PG,128 min,"Action & Adventure, Romantic Movies",A story about Extraction.
s2495,Movie,The Old Guard 18,Guillermo del Toro,"Brad Pitt, Leonardo DiCaprio, Jennifer Aniston",United Kingdom,"October 6, 2017",2015,TV-PG,153 min,"Comedies, Dramas",A story about The.
s2496,Movie,Bright 24,Ava DuVernay,"Jennifer Aniston, Tom Hanks, Cate Blanchett, Leonardo DiCaprio",United States,"July 12, 2015",2013,TV-14,78 min,"Sci-Fi & Fantasy, Action & Adventure",A story about Bright.
s2497,TV Show,Triple Frontier 6,Ryan Murphy,"Tom Hanks, Leonardo DiCaprio, Brad Pitt, Meryl Streep",United Kingdom,"April 9, 2021",2021,TV-MA,3 Season,"Sci-Fi & Fantasy, Thrillers",A story about Triple.
s2498,TV Show,6 Underground 48,Guillermo del Toro,"Leonardo DiCaprio, Meryl Streep",United States,"May 13, 2022",2021,TV-MA,1 Season,"Horror Movies, Dramas",A story about 6.
s2499,TV Show,Project Power 36,,"Jennifer Aniston, Leonardo DiCaprio, Meryl Streep",India,"April 25, 2009",2009,TV-PG,3 Season,"Sci-Fi & Fantasy, Romantic Movies",A story about Project.
s2500,TV Show,Army of Thieves 24,,"Meryl Streep, Cate Blanchett, Tom Hanks, Brad Pitt",Spain,"October 23, 2014",2012,R,1 Season,"Dramas, Comedies",A story about Army.
s2501,TV Show,The Crown 39,Ava DuVernay,"Meryl Streep, Jennifer Aniston, Brad Pitt, Tom Hanks",France,"September 22, 2010",2010,TV-MA,5 Season,Thrillers,A story about The.
s2502,Movie,Stranger Things 45,Ava DuVernay,"Meryl Streep, Leonardo DiCaprio",Brazil,"November 12, 2020",2019,PG-13,144 min,"Sci-Fi & Fantasy, Documentaries",A story about Stranger.
s2503,Movie,Breaking Bad 41,Christopher Nolan,"Leonardo DiCaprio, Jennifer Aniston, Brad Pitt, Meryl Streep",United States,"January 1, 2009",2008,TV-14,87 min,"Comedies, Children & Family Movies",A story about Breaking.
s2504,Movie,Narcos 37,Ryan Murphy,,India,"January 25, 2011",2010,TV-PG,82 min,Romantic Movies,A story about Narcos.
s2505,Movie,Dark 31,Martin Scorsese,"Leonardo DiCaprio, Jennifer Aniston",United States,"October 24, 2010",2008,TV-MA,129 min,International Movies,A story about Dark.
s2506,Movie,Money Heist 6,Martin Scorsese,"Leonardo DiCaprio, Brad Pitt, Tom Hanks",India,"December 17, 2015",2015,TV-14,172 min,Sci-Fi & Fantasy,A story about Money.
s2507,Movie,Squid Game 27,Alfonso Cuarón,"Cate Blanchett, Meryl Streep",Germany,"September 9, 2012",2010,TV-14,135 min,Horror Movies,A story about Squid.
s2508,TV Show,Ozark 3,Guillermo del Toro,"Tom Hanks, Brad Pitt, Leonardo DiCaprio",France,"May 19, 2022",2020,TV-MA,3 Season,Sci-Fi & Fantasy,A story about Ozark.
s2509,TV Show,Mindhunter 25,Alfonso Cuarón,,South Korea,"February 13, 2009",2009,G,4 Season,Horror Movies,A story about Mindhunter.
s2510,Movie,Lupin 14,Christopher Nolan,"Leonardo DiCaprio, Jennifer Aniston",United Kingdom,"May 25, 2015",2014,PG-13,78 min,"Sci-Fi & Fantasy, Horror Movies",A story about Lupin.
s2511,Movie,Inception 1,David Fincher,"Leonardo DiCaprio, Jennifer Aniston, Meryl Streep",United States,"March 4, 2021",2021,TV-PG,118 min,Thrillers,A story about Inception.
s2512,Movie,The Irishman 35,Ava DuVernay,"Tom Hanks, Cate Blanchett",Brazil,"February 18, 2019",2019,TV-MA,116 min,Sci-Fi & Fantasy,A story about The.
s2513,Movie,Bird Box 47,Ryan Murphy,"Tom Hanks, Jennifer Aniston, Meryl Streep, Cate Blanchett",United States,"July 11, 2011",2011,TV-MA,121 min,"Romantic Movies, International Movies",A story about Bird.
s2514,Movie,Extraction 46,Ryan Murphy,"Leonardo DiCaprio, Tom Hanks",United States,"July 24, 2011",2011,PG-13,71 min,Children & Family Movies,A story about Extraction.
s2515,Movie,The Old Guard 33,Alfonso Cuarón,"Brad Pitt, Leonardo DiCaprio, Tom Hanks, Cate Blanchett",United Kingdom,"January 6, 2022",2021,PG-13,175 min,"Dramas, Thrillers",A story about The.
s2516,Movie,Bright 32,,"Brad Pitt, Jennifer Aniston, Tom Hanks",Spain,"May 5, 2020",2019,PG-13,104 min,"Horror Movies, Thrillers",A story about Bright.
s2517,Movie,Triple Frontier 24,Ava DuVernay,"Cate Blanchett, Tom Hanks, Jennifer Aniston",United States,"September 19, 2018",2017,TV-PG,109 min,"International Movies, Action & Adventure",A story about Triple.
s2518,TV Show,6 Underground 10,,"Tom Hanks, Jennifer Aniston",India,"May 13, 2010",2008,G,3 Season,"Romantic Movies, Documentaries",A story about 6.
s2519,Movie,Project Power 34,,"Jennifer Aniston, Cate Blanchett, Leonardo DiCaprio, Brad Pitt",Germany,"May 12, 2021",2020,TV-MA,162 min,"Action & Adventure, Sci-Fi & Fantasy",A story about Project.
s2520,TV Show,Army of Thieves 19,Alfonso Cuarón,"Tom Hanks, Brad Pitt",United States,"April 15, 2012",2010,TV-MA,1 Season,Romantic Movies,A story about Army.
s2521,TV Show,The Crown 12,,"Tom Hanks, Leonardo DiCaprio, Meryl Streep, Brad Pitt",United States,"May 4, 2019",2018,TV-PG,3 Season,Comedies,A story about The.
s2522,Movie,Stranger Things 9,,"Cate Blanchett, Jennifer Aniston",India,"December 10, 2012",2011,TV-MA,71 min,"Children & Family Movies, Documentaries",A story about Stranger.
s2523,Movie,Breaking Bad 6,Alfonso Cuarón,"Meryl Streep, Cate Blanchett, Jennifer Aniston",United States,"August 23, 2015",2013,TV-MA,146 min,"Sci-Fi & Fantasy, Thrillers",A story about Breaking.
s2524,TV Show,Narcos 1,,"Cate Blanchett, Brad Pitt, Leonardo DiCaprio, Meryl Streep",United States,"October 12, 2019",2019,TV-14,1 Season,"Sci-Fi & Fantasy, Comedies",A story about Narcos.
s2525,Movie,Dark 23,Martin Scorsese,"Leonardo DiCaprio, Brad Pitt",United States,"March 17, 2017",2015,TV-MA,165 min,Action & Adventure,A story about Dark.
s2526,Movie,Money Heist 20,Christopher Nolan,"Cate Blanchett, Tom Hanks, Leonardo DiCaprio",United Kingdom,"January 26, 2014",2012,TV-MA,145 min,"Dramas, Documentaries",A story about Money.
s2527,Movie,Squid Game 24,,"Cate Blanchett, Brad Pitt, Jennifer Aniston, Meryl Streep",India,"March 26, 2011",2011,PG-13,115 min,"Comedies, Thrillers",A story about Squid.
s2528,TV Show,Ozark 20,Ryan Murphy,"Brad Pitt, Meryl Streep, Tom Hanks, Cate Blanchett",Germany,"January 5, 2017",2015,TV-MA,3 Season,Children & Family Movies,A story about Ozark.
s2529,TV Show,Mindhunter 15,Ryan Murphy,"Tom Hanks, Brad Pitt",India,"April 1, 2022",2020,TV-PG,3 Season,"Documentaries, Action & Adventure",A story about Mindhunter.
s2530,Movie,Lupin 9,Ryan Murphy,"Leonardo DiCaprio, Tom Hanks, Jennifer Aniston, Cate Blanchett",United States,"March 24, 2019",2017,PG,179 min,Documentaries,A story about Lupin.
s2531,Movie,Inception 46,Martin Scorsese,"Tom Hanks, Meryl Streep, Brad Pitt, Leonardo DiCaprio",Canada,"September 17, 2020",2020,R,92 min,"International Movies, Dramas",A story about Inception.
s2532,TV Show,The Irishman 30,,"Jennifer Aniston, Tom Hanks",United Kingdom,"May 23, 2012",2011,TV-14,2 Season,Dramas,A story about The.
s2533,Movie,Bird Box 19,,"Meryl Streep, Leonardo DiCaprio",United States,"February 17, 2020",2019,R,115 min,Action & Adventure,A story about Bird.
s2534,Movie,Extraction 49,Ava DuVernay,"Jennifer Aniston, Tom Hanks, Meryl Streep, Brad Pitt",United Kingdom,"March 3, 2014",2014,TV-14,88 min,"Horror Movies, Romantic Movies",A story about Extraction.
s2535,TV Show,The Old Guard 22,David Fincher,,United Kingdom,"March 22, 2021",2019,PG-13,2 Season,"Horror Movies, Children & Family Movies",A story about The.
s2536,Movie,Bright 33,Christopher Nolan,"Meryl Streep, Leonardo DiCaprio, Jennifer Aniston",Germany,"May 14, 2013",2012,PG,160 min,Action & Adventure,A story about Bright.
s2537,Movie,Triple Frontier 17,Christopher Nolan,"Leonardo DiCaprio, Meryl Streep, Cate Blanchett",Japan,"July 20, 2013",2011,TV-MA,76 min,"Thrillers, Children & Family Movies",A story about Triple.
s2538,TV Show,6 Underground 11,Guillermo del Toro,"Brad Pitt, Meryl Streep, Tom Hanks, Leonardo DiCaprio",Germany,"February 14, 2013",2013,R,2 Season,"Documentaries, Children & Family Movies",A story about 6.
s2539,Movie,Project Power 11,,"Leonardo DiCaprio, Meryl Streep, Cate Blanchett",United States,"March 21, 2019",2019,R,152 min,"Thrillers, Horror Movies",A story about Project.
s2540,Movie,Army of Thieves 3,,"Cate Blanchett, Jennifer Aniston, Brad Pitt, Meryl Streep",United States,"March 2, 2012",2011,PG-13,140 min,Horror Movies,A story about Army.
s2541,Movie,The Crown 35,,"Jennifer Aniston, Meryl Streep, Brad Pitt, Tom Hanks",United Kingdom,"September 15, 2011",2009,TV-MA,149 min,Thrillers,A story about The.
s2542,Movie,Stranger Things 29,,"Meryl Streep, Cate Blanchett",United States,"December 2, 2015",2013,TV-14,139 min,"International Movies, Thrillers",A story about Stranger.
s2543,TV Show,Breaking Bad 12,,"Jennifer Aniston, Brad Pitt, Tom Hanks, Leonardo DiCaprio",India,"August 10, 2016",2015,R,5 Season,Horror Movies,A story about Breaking.
s2544,Movie,Narcos 15,,"Brad Pitt, Cate Blanchett, Tom Hanks",United States,"April 6, 2009",2009,TV-MA,173 min,Sci-Fi & Fantasy,A story about Narcos.
s2545,Movie,Dark 36,David Fincher,"Meryl Streep, Jennifer Aniston, Tom Hanks, Leonardo DiCaprio",United States,"May 6, 2013",2013,TV-PG,161 min,"Romantic Movies, Children & Family Movies",A story about Dark.
s2546,Movie,Money Heist 1,Alfonso Cuarón,"Jennifer Aniston, Tom Hanks",United States,"December 20, 2009",2008,TV-14,172 min,"International Movies, Children & Family Movies",A story about Money.
s2547,TV Show,Squid Game 25,Ryan Murphy,"Jennifer Aniston, Cate Blanchett, Leonardo DiCaprio",South Korea,"February 4, 2019",2018,TV-14,3 Season,Sci-Fi & Fantasy,A story about Squid.
s2548,Movie,Ozark 28,Ryan Murphy,"Brad Pitt, Leonardo DiCaprio",South Korea,"May 10, 2009",2008,PG-13,177 min,"Sci-Fi & Fantasy, Dramas",A story about Ozark.
s2549,Movie,Mindhunter 43,Martin Scorsese,"Brad Pitt, Cate Blanchett, Tom Hanks",Germany,"August 2, 2018",2018,TV-MA,148 min,"Sci-Fi & Fantasy, Horror Movies",A story about Mindhunter.
